,date,text
95,2020-07-16,@GustavoVialesCR @aluciadelgado @silhersa Otro rechazo sería lo ideal estos pac deben dejar su soberbia y solo así podrán entender si no sigue hundiendo a Costa Rica con desempleo incertidumbre sin rumbo económico adelante diputado
96,2020-07-16,Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia https://t.co/oy0mYKcRE2
97,2020-07-16,"La tasa de desempleo mostró un incremento de 8,8 puntos porcentuales desde el mismo período de 2019, según un informe del Instituto Nacional de Estadística y Censo. #NoticiasTVN 
https://t.co/PYhUhT63Aj"
98,2020-07-16,Dolanescu: Hoy tenemos cifras de desempleo escandalosas https://t.co/pAt7PWrnmL
99,2020-07-16,"Entre marzo y mayo, gran parte de los negocios y empresas estuvieron cerrados, lo que los llevó a despedir trabajadores o reducir sus jornadas laborales. [rr]
https://t.co/yb3RK1gsqd"
100,2020-07-16,Ojo que esta cifra de desempleo contempla sólo los dos primeros meses de la pandemia en Costa Rica. O sea que podríamos esperar un número aún peor para el próximo trimestre... 😟
101,2020-07-16,"Que no te paralice la ""desesperanza del desempleo"". Hoy que en Costa Rica la tasa de desempleo llega a 20.1% hay gente que siente desesperación, frustración y se entiende. Tenemos temores y a veces el temor nos paraliza. 1/3 https://t.co/ei1vNiKcYL"
102,2020-07-16,Costa Rica tiene menos desempleo que Haití https://t.co/PMqtcGFjyc
103,2020-07-16,"El desempleo en Costa Rica alcanzó una cifra récord de 20,1% para el trimestre de marzo a mayo, y refleja el impacto de la pandemia de la COVID -19. https://t.co/TPQXoqHR6E"
104,2020-07-16,"Desempleo en Costa Rica alcanza nivel récord en medio de pandemia.
https://t.co/kJdVcgmZPx"
105,2020-07-16,"Desempleo en Costa Rica escala a 20,1% entre marzo y mayo por el impacto de la pandemia https://t.co/x3SZOEmlYf"
106,2020-07-16,Prendas: El Gobierno ha destruido sistemáticamente la generación de empleo en los últimos años https://t.co/OaP1CZk5RA
107,2020-07-16,"Antes de la crisis a causa de la Covid-19, Costa Rica venía con un desempleo muy pronunciado (1 de cada 10 costarricenses estaba sin empleo); hoy, lamentablemente, el desempleo golpea a dos de cada 10, duplicándose de forma abrupta. 2/3"
108,2020-07-16,"Como que se acabaron las razones para no hacer una reforma tributaria de calado.

https://t.co/Rgq9ELpC3z"
109,2020-07-16,"CompTIA-Costa Rica: oportunidad de empleo,
Dole Costa Rica, Especialista en Seguridad Informática. Requisito: CompTIA Security+. ¿Estás calificado? #YoEnCompTIA #comptialatam #comptiasecurity https://t.co/iPj5kqvBYV"
110,2020-07-16,"Un desastre. Esto es una amenaza no solo a la vida de la gente, pero a todo el sistema democrático. https://t.co/CcQrsY8hL3"
111,2020-07-16,"Salieron las cifras del INEC y ya empezaron algunas madres y algunos padres de la patria a rasgarse las vestiduras.
OJO, más que reactivación económica es renovación económica y ójala ""circular"".
https://t.co/q3m8zS1AlH"
112,2020-07-16,"COURSERA y Costa Rica vía CINDE (Coalición Costarricense de Iniciativas de Desarrollo)  tienen esta plataforma en línea para aprendizaje capacitaciones, orientado a personas en desempleo 

https://t.co/K0ow3B7XZP

#aprendizaje #pandemia #costarica"
113,2020-07-16,Desempleo en Costa Rica ahora es del 20.1% la más alta de la historia https://t.co/ZGvR4PSmhf
114,2020-07-16,"#NoticiasCRC Desempleo en Costa Rica alcanza 20%, casi el doble antes de la pandemia del covid-19

https://t.co/GtJ8oQabuW https://t.co/LM3ySUn1nT"
115,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,,,,,,"
116,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,,,,,"
117,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,,,,"
118,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,,,"
119,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,,"
120,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,"
121,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ,,"
122,2020-07-16,"LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd .,"
123,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ........
124,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dCUmD .......
125,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ......
126,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd .....
127,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ....
128,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ...
129,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd ..
130,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd .
131,2020-07-16,LA VOZ DEL PUEBLO  COSTA RICA  RADIO GIGANTE 800 AM : DESEMPLEO LLEGA AL 20.1 % SEGUN INEC EN COSTA RICA... https://t.co/n6Fl9dUvLd
132,2020-07-16,"Desempleo llegó a 20,1% entre marzo y mayo https://t.co/Uqftt8VBZh"
133,2020-07-16,"190k+ personas perdieron su trabajo en el último año en Costa Rica. Casi medio millón no tienen empleo hoy.

Apenas es julio. https://t.co/zF9Ir4KfH7 https://t.co/93hwbqy1hH"
134,2020-07-16,"Desempleo en Costa Rica escala a 20,1% entre marzo y mayo por el impacto de la pandemia https://t.co/1lszutE5CD"
135,2020-07-16,"Tasa de desempleo en Costa Rica cerró en mayo en 20,1%  https://t.co/nYaS6n6whY"
136,2020-07-16,"Desempleo en Costa Rica escala a 20,1% entre marzo y mayo por el impacto de la pandemia:
 https://t.co/e8xahZtjv9 https://t.co/e8xahZtjv9"
137,2020-07-16,"Desempleo en Costa Rica escala a 20,1% entre marzo y mayo por el impacto de la pandemia https://t.co/1f8SWlCIjb https://t.co/nJXS2ABgDs"
138,2020-07-16,El INEC estima que en el país hay 468 mil personas desempleadas https://t.co/pTWbTLqtJ2
139,2020-07-16,"ÚLTIMA HORA: El INEC reporta que la tasa de desempleo en Costa Rica se disparó al 20,1% al cierre del mes de mayo"
140,2020-07-16,"Encuesta Continua de Empleo trimestre móvil marzo, abril, mayo. Situación del mercado laboral en Costa Rica. 
Infografía en PDF: https://t.co/zoSrF2xeku 
#datos #empleocr #ECE #INECCR #LoDiceINEC #COVID_19 https://t.co/FNqCliLqsK"
141,2020-07-16,El desempleo juvenil en Costa Rica se podría combatir con entrenamiento vocacional (habilidades duraderas) antes de ingresar al mercado laboral. La clave está en brindar todas las oportunidades de capacitación que disminuyan el riesgo de desempleo. https://t.co/E4oa21FYdE
142,2020-07-16,".@ocdeenespanol dedicó 148 páginas a Costa Rica, donde se abordan temas como competitividad, empleo, costo de operación, inversión extranjera directa pero… #DeEstoNoSeHablaEnCRI

Pero la prensa y legisladores siguen insistiendo en más impuestos

Link (+...)"
143,2020-07-15,Se calienta Costa Rica se acuerdan de estas imágenes pues sepan que los cubanos que están en ese país organizan una caravana hacia México pues alegan no haber recibido ninguna ayuda de la Acnur y están sin empleo ni comida una situación bien triste yo los apoyo . https://t.co/IJ3TlQIR3a
144,2020-07-15,"La red GAN Costa Rica es una plataforma multisectorial con actores y organizaciones comprometidas con la formación y el empleo de las personas jóvenes. Es por esto que a través de alianzas estratégicas, y como respuesta ante las consecuencias negativas del COVID-19, (...)"
